景点名称,经度,纬度,坐标,状态
广州塔,113.32489,23.105818,"113.324890,23.105818",成功
广州市长隆旅游度假区,113.392502,22.926343,"113.392502,22.926343",成功
广州市白云山风景区,113.288764,23.154684,"113.288764,23.154684",成功
花城广场,113.324593,23.120498,"113.324593,23.120498",成功
海心沙亚运公园,113.324063,23.111378,"113.324063,23.111378",成功
广东省博物馆,113.326909,23.114687,"113.326909,23.114687",成功
珠江夜游码头,113.288149,23.112552,"113.288149,23.112552",成功
沙面,113.245343,23.107934,"113.245343,23.107934",成功
上下九步行街,113.246205,23.113636,"113.246205,23.113636",成功
陈家祠,113.245403,23.12668,"113.245403,23.126680",成功
南越王博物院（王墓展区）,113.261319,23.138452,"113.261319,23.138452",成功
大佛古寺,113.265427,23.120612,"113.265427,23.120612",成功
永庆坊,113.238286,23.114231,"113.238286,23.114231",成功
越秀公园,113.264905,23.139843,"113.264905,23.139843",成功
中山纪念堂,113.264682,23.133454,"113.264682,23.133454",成功
华南国家植物园,113.366548,23.183036,"113.366548,23.183036",成功
火炉山森林公园,113.385117,23.168708,"113.385117,23.168708",成功
广州圣心大教堂,113.259681,23.113231,"113.259681,23.113231",成功
莲花山旅游区,113.504534,22.97879,"113.504534,22.978790",成功
宝墨园,113.295821,22.895776,"113.295821,22.895776",成功
大夫山森林公园,113.31236,22.940635,"113.312360,22.940635",成功
余荫山房,113.396284,23.011053,"113.396284,23.011053",成功
沙湾古镇,113.339011,22.911356,"113.339011,22.911356",成功
广州大学城,113.390206,23.048903,"113.390206,23.048903",成功
南海神庙,113.499625,23.082382,"113.499625,23.082382",成功
黄埔古港,113.392277,23.086754,"113.392277,23.086754",成功
光孝寺,113.256566,23.128849,"113.256566,23.128849",成功
深圳市华侨城旅游度假区,113.979821,22.538544,"113.979821,22.538544",成功
深圳市观澜湖休闲旅游区,114.081805,22.723768,"114.081805,22.723768",成功
世界之窗,113.973715,22.534481,"113.973715,22.534481",成功
深圳湾公园,113.950183,22.519126,"113.950183,22.519126",成功
深圳平安金融中心云际观光层,114.055727,22.5331,"114.055727,22.533100",成功
锦绣中华民俗村,113.997275,22.531446,"113.997275,22.531446",成功
大梅沙海滨公园,114.304446,22.594822,"114.304446,22.594822",成功
西涌沙滩,114.516427,22.536057,"114.516427,22.536057",成功
东部华侨城,114.304446,22.594822,"114.304446,22.594822",成功
杨梅坑,114.485808,22.548877,"114.485808,22.548877",成功
较场尾,114.50162,22.595512,"114.501620,22.595512",成功
深圳欢乐谷,113.97873,22.538869,"113.978730,22.538869",成功
珠海长隆海洋王国,113.537108,22.097771,"113.537108,22.097771",成功
珠海情侣路,113.578416,22.286425,"113.578416,22.286425",成功
景山公园,113.576348,22.251964,"113.576348,22.251964",成功
外伶仃岛,114.030358,22.101621,"114.030358,22.101621",成功
珠海太空中心,113.335681,22.101894,"113.335681,22.101894",成功
金沙滩,113.3634,22.05427,"113.363400,22.054270",成功
珠海规划馆,113.58149,22.270549,"113.581490,22.270549",成功
港珠澳大桥,113.590424,22.210443,"113.590424,22.210443",成功
东澳岛,113.713464,22.025282,"113.713464,22.025282",成功
桂山岛,113.823731,22.135239,"113.823731,22.135239",成功
香港迪士尼乐园,114.045338,22.309132,"114.045338,22.309132",成功
香港海洋公园,114.172369,22.24243,"114.172369,22.242430",成功
太平山顶,114.154373,22.281981,"114.154373,22.281981",成功
维多利亚港,114.192847,22.31251,"114.192847,22.312510",成功
星光大道,114.192847,22.31251,"114.192847,22.312510",成功
香港太空馆,114.176107,22.29117,"114.176107,22.291170",成功
香港故宫文化博物馆,114.192847,22.31251,"114.192847,22.312510",成功
昂坪360,113.911161,22.257921,"113.911161,22.257921",成功
大澳,113.867516,22.250595,"113.867516,22.250595",成功
嗇色园黄大仙祠,114.203886,22.336321,"114.203886,22.336321",成功
香港摩天轮,114.162542,22.285418,"114.162542,22.285418",成功
天星码头,114.192847,22.31251,"114.192847,22.312510",成功
兰桂坊,114.160463,22.278511,"114.160463,22.278511",成功
金紫荆广场,114.178013,22.280418,"114.178013,22.280418",成功
澳门大三巴牌坊,113.545851,22.19361,"113.545851,22.193610",成功
澳门旅游塔,113.553647,22.188539,"113.553647,22.188539",成功
澳门威尼斯人度假区,113.551129,22.18534,"113.551129,22.185340",成功
澳门巴黎人度假区,113.551129,22.18534,"113.551129,22.185340",成功
影汇之星8字形摩天轮,113.566255,22.138475,"113.566255,22.138475",成功
澳门渔人码头,113.557653,22.189267,"113.557653,22.189267",成功
新濠影汇水上乐园,113.566255,22.138475,"113.566255,22.138475",成功
路环村及黑沙海滩,113.575091,22.116143,"113.575091,22.116143",成功
澳门海事博物馆,113.546894,22.19097,"113.546894,22.190970",成功
佛山市西樵山景区,112.987172,22.938068,"112.987172,22.938068",成功
佛山市长鹿旅游休博园,113.15348,22.886554,"113.153480,22.886554",成功
佛山祖庙,113.113207,23.029314,"113.113207,23.029314",成功
河口百年火车站,112.896948,23.166268,"112.896948,23.166268",成功
江根村,112.896948,23.166268,"112.896948,23.166268",成功
佛山文创古镇,112.836668,23.063746,"112.836668,23.063746",成功
平沙岛,112.892573,22.900047,"112.892573,22.900047",成功
烟桥村,113.010807,22.863346,"113.010807,22.863346",成功
世纪莲体育中心,113.133098,22.968664,"113.133098,22.968664",成功
清晖园,113.255061,22.835627,"113.255061,22.835627",成功
东莞可园,113.743697,23.041652,"113.743697,23.041652",成功
东莞市沉香文化博物馆,113.871647,22.983709,"113.871647,22.983709",成功
牙香街文化旅游区,113.887252,22.992661,"113.887252,22.992661",成功
佛灵湖生态旅游区,113.845271,22.970233,"113.845271,22.970233",成功
同沙生态公园,113.80148,22.967287,"113.801480,22.967287",成功
华阳湖国家湿地公园,113.567679,23.064005,"113.567679,23.064005",成功
粤晖园,113.631622,22.973432,"113.631622,22.973432",成功
中山孙中山故里旅游区,113.536734,22.444672,"113.536734,22.444672",成功
中山孙中山故居,113.536734,22.444672,"113.536734,22.444672",成功
中山市博物馆,113.37474,22.520321,"113.374740,22.520321",成功
孙文西路步行街,113.369379,22.521375,"113.369379,22.521375",成功
香山商业文化博物馆,113.369379,22.521375,"113.369379,22.521375",成功
金钟湖公园,113.384378,22.475648,"113.384378,22.475648",成功
五桂山逍遥谷,113.433991,22.429522,"113.433991,22.429522",成功
旗溪生态村,113.459573,22.397781,"113.459573,22.397781",成功
广东中山翠亨国家湿地公园,113.536734,22.444672,"113.536734,22.444672",成功
中山树木园,113.395819,22.513947,"113.395819,22.513947",成功
雍陌村,113.462869,22.365043,"113.462869,22.365043",成功
郑观应故居,113.462869,22.365043,"113.462869,22.365043",成功
江门市开平碉楼文化旅游区,112.62536,22.36939,"112.625360,22.369390",成功
长廊生态园,113.114086,22.547517,"113.114086,22.547517",成功
城央绿廊,113.111029,22.561301,"113.111029,22.561301",成功
江门船厂,112.30961,22.178619,"112.309610,22.178619",成功
台山水步镇草坪里,112.791726,22.350833,"112.791726,22.350833",成功
赤坎华侨古镇,112.582516,22.33498,"112.582516,22.334980",成功
广东新会小鸟天堂国家湿地公园,113.043561,22.514804,"113.043561,22.514804",成功
圭峰山国家森林公园,113.037259,22.548772,"113.037259,22.548772",成功
江门市东湖公园,112.718078,22.369048,"112.718078,22.369048",成功
上川岛飞沙滩,112.798188,21.72575,"112.798188,21.725750",成功
川山群岛海丝遗址,112.663444,21.691055,"112.663444,21.691055",成功
那琴半岛地质海洋公园,112.350505,21.719684,"112.350505,21.719684",成功
惠州市惠州西湖旅游景区,114.401274,23.090101,"114.401274,23.090101",成功
惠州市罗浮山景区,114.040677,23.206759,"114.040677,23.206759",成功
惠州体育馆,114.415037,23.109078,"114.415037,23.109078",成功
惠州植物园,114.374899,23.097231,"114.374899,23.097231",成功
客家婆景区,114.147847,23.241005,"114.147847,23.241005",成功
肇庆市星湖旅游景区,112.488292,23.070035,"112.488292,23.070035",成功
肇庆市体育中心,112.450006,23.063312,"112.450006,23.063312",成功
